rank,area,lat,lon,need_score,population_est,nearest_church,nearest_city,distance_miles,distance_to_napa_miles,opportunity_type,nearby_like_minded_40mi,pop_score,distance_score,growth_score,vacuum_score,napa_score,notes
1,Davis,38.545,-121.741,63.5,67000,Chinese Grace Bible Church Sacramento,Sacramento,10.7,34.6,A_send_pastor,22,18,22,7.5,4,12,AUTHORITATIVE Coalition pin: “Needs a Church Planter.” ~67k + UC Davis. Nearest Sac churches ~11–15 mi but Coalition still flags unmet local need. Classic send-a-pastor / gather-commuters plant. High Napa shepherding feasibility (~40 mi).
2,Stockton,37.958,-121.291,51.0,320000,Crossroads Grace Community Church Manteca,Manteca,13.4,61.3,B_evangelism_first,7,30,6,6.0,4,5,~320k metro core. Nearest Coalition church Crossroads Grace (Manteca) ~13 mi — soft gap by mileage but large unchurched/underserved urban mass. Evangelism-first with plant horizon. Limited Coalition density in Stockton proper.
3,Salinas,36.678,-121.656,52.0,160000,Grace Church Monterey Bay,Seaside,10.7,119.5,B_evangelism_first,5,26,10,6.0,8,2,~160k. Nearest now Grace Church Monterey Bay (Seaside) ~10.7 mi (was Hollister ~18.4). Peninsula TMS-lane coverage added 2026-09-17; Salinas Valley proper still lacks an in-city Coalition/TMS pin. Strong B-type opportunity.
4,Merced,37.302,-120.483,61.5,90000,Hickman Community Church,Hickman,26.5,122.6,B_evangelism_first,1,22,18,7.5,12,2,~90k + UC Merced growth. Nearest Hickman ~27 mi. Clear Central Valley gap south of Modesto cluster. Growth + distance.
5,Modesto,37.639,-120.997,55.0,218000,Hickman Community Church,Hickman,13.6,86.2,B_evangelism_first,3,30,6,6.0,8,5,~218k. Hickman (~14 mi) is small-town coverage — Modesto proper lacks a Coalition congregation. Treat as soft urban gap / B-type.
6,Yuba City,39.14,-121.617,51.0,70000,Iglesia Bíblica de Lincoln,Lincoln,24.6,67.7,B_evangelism_first,12,22,14,6.0,4,5,~70k (Yuba–Sutter). ~25 mi from Lincoln churches; thin north-of-Sac coverage toward Chico. B-type.
7,Novato,38.107,-122.57,51.5,53000,FocalPoint Bible Church,El Sobrante,17.4,20.5,A_send_pastor,19,18,10,4.5,4,15,~53k North Marin. ~17 mi to FocalPoint (El Sobrante) across the bay/bridge or longer to Santa Rosa. Marin County largely uncovered. A-type: some families may drive to East Bay/North Bay.
8,Woodland,38.679,-121.773,51.5,61000,The Cornerstone Bible Church Sacramento,Sacramento,15.5,38.2,A_send_pastor,22,18,10,7.5,4,12,~61k. Adjacent to Davis need; ~15 mi to Sac Cornerstone. Natural tandem with Davis plant corridor (Woodland–Davis–Dixon). A-type.
9,Tracy,37.74,-121.426,49.0,95000,Crossroads Grace Community Church Manteca,Manteca,13.2,63.2,A_send_pastor,14,22,6,12.0,4,5,"~95k, high housing growth. Between Livermore GCC and Manteca Crossroads (~13 mi). Soft gap but growth + commute families → A-type gather plant."
10,San Mateo,37.563,-122.326,51.0,100000,Light By The Bay Church,San Lorenzo,13.0,52.8,mixed_or_explore,19,26,6,6.0,4,9,~100k Peninsula. Nearest Light By The Bay (San Lorenzo) ~13 mi across the bay or SF Bible farther NW. Mid-Peninsula lacks a Coalition pin (no San Mateo/Redwood City/Palo Alto church on roster). Soft but strategic.
11,Lodi,38.13,-121.272,51.0,68000,Laguna Chinese Baptist Church Elk Grove,Elk Grove,22.4,58.3,mixed_or_explore,16,18,14,6.0,4,9,~68k. ~22 mi from Elk Grove cluster. North San Joaquin gap between Sac south and Stockton/Manteca.
12,Los Banos,37.058,-120.85,53.5,47000,Patterson Bible Church,Patterson,33.4,118.8,mixed_or_explore,3,14,22,7.5,8,2,~47k on I-5 corridor. ~34 mi to Hollister. Isolated Valley west-side town; long drives either direction. Nearest now Patterson Bible Church plant (~33 mi; was Hollister ~34).
13,South Lake Tahoe,38.94,-119.977,55.5,21000,Colfax Baptist Church,Colfax,54.1,133.2,mixed_or_explore,0,10,24,4.5,15,2,~21k tourist/resident mix. ~54 mi to Colfax Baptist Church (Colfax). Sierra recreation gap; seasonal + year-round gospel need. Updated 2026-09-17 after Grizzly Flats removal (was ~36 mi).
14,Crescent City,41.756,-124.202,49.5,6500,Grace Baptist Church,Eureka,67.0,257.0,mixed_or_explore,0,6,25,1.5,15,2,Far North Coast (~6.5k). ~67 mi to Eureka Grace Baptist. Extreme distance; small pop but total coverage void Del Norte.
